ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
42308.0,8,0,2010.0,3.23,2.88,3.48,2.62,2.9,3.13,1,0,0,-1.3040084328110226,-1.4908575539141193
70978.0,0,0,2010.0,3.58,3.25,4.26,3.37,3.47,3.02,0,2,2,0.22711680731465952,-1.6445627568720254
31601.999999999996,0,1,2010.0,2.21,1.78,1.98,1.49,2.51,2.19,1,0,0,-4.623224945445582,-0.8946356322523628
63847.0,0,1,2010.0,2.7,2.67,2.44,2.0,2.35,3.19,1,0,0,-2.9618741269102777,-1.8056266235203897
30158.0,0,0,2010.0,3.88,3.61,3.69,3.63,4.58,4.24,0,2,2,1.505616540352615,-1.6537058981345663
51740.0,0,1,2010.0,2.97,2.66,2.98,3.28,3.07,3.13,1,0,0,-1.4706606325327054,-1.4603989340007013
76075.0,0,1,2010.0,3.34,3.68,3.0,3.44,3.28,3.02,1,2,2,-0.46457649700613085,-1.5489068598823892
60888.0,0,0,2010.0,2.56,2.3,2.5,2.29,2.77,2.68,1,0,0,-3.0633754342267308,-1.4119442561170987
43378.0,0,1,2010.0,3.76,3.3,3.64,3.88,4.37,3.13,0,2,2,0.8091879042613567,-1.1439439632570672
80307.0,0,0,2010.0,3.96,3.94,3.89,3.81,4.17,3.98,0,1,1,1.6351867299935636,-2.08357284465629
82483.0,0,0,2010.0,3.99,3.83,4.06,3.56,4.4,4.11,0,1,1,1.7317257678607985,-2.2070181885712037
40021.0,0,1,2010.0,3.02,2.94,3.02,3.0,3.13,2.92,1,0,0,-1.4388334882582081,-1.2181891769577198
54093.0,0,0,2010.0,4.99,5.0,4.98,5.0,5.0,4.14,0,1,1,4.679667372709154,-1.6918074905128646
87694.0,0,0,2010.0,3.3,3.85,3.26,2.56,3.28,3.13,1,2,2,-0.6518659328205909,-1.8639328520618001
36750.0,0,0,2010.0,4.44,4.32,4.28,4.53,4.71,2.89,0,1,1,2.649851412848883,-0.8104292753293564
33891.0,0,0,2010.0,4.22,4.02,4.18,4.19,4.51,2.5,0,1,1,1.842932178326403,-0.6204740048443731
59057.0,0,1,2010.0,3.61,4.02,3.55,3.34,3.45,3.04,0,2,2,0.278026267129549,-1.4045626893587153
72189.0,0,0,2010.0,3.92,3.74,3.98,3.69,4.2,3.54,0,1,1,1.3321375974327423,-1.7620110352991452
81428.0,0,1,2010.0,3.29,3.4,2.37,3.91,4.0,2.55,1,2,2,-0.5769882687181143,-1.111856255843293
93847.0,0,1,2011.0,3.77,3.89,3.51,3.84,3.88,3.13,0,2,2,0.8124133998014036,-1.0547067625791897
60462.0,0,0,2011.0,3.86,3.45,3.63,3.9,4.59,3.59,0,2,2,1.269947797807168,-0.8986463690957994
89501.0,0,0,2011.0,4.4,4.04,4.38,4.52,4.73,3.52,0,1,1,2.7653256975304825,-1.1265801581051715
95498.0,0,0,2011.0,3.41,3.0,3.48,3.42,3.76,3.13,1,2,2,-0.24565861638928085,-1.1904206249675444
48552.0,0,0,2011.0,4.14,3.34,4.55,4.39,4.41,4.22,0,1,1,2.3100439707453417,-1.2283800490572763
77591.0,0,0,2011.0,4.59,4.34,4.7,4.74,4.63,3.52,0,1,1,3.3109037390860316,-1.0039100274312822
68825.0,0,0,2011.0,3.98,3.79,4.26,3.65,4.12,2.99,0,1,1,1.3028769629434567,-0.7764673245688822
67261.0,0,1,2011.0,2.69,2.49,2.62,2.52,3.06,3.36,1,0,0,-2.257834551592136,-1.164435811765043
